,date,freq
245,"October 29, 2020",9
246,"March 03, 2020",9
247,"September 13, 2019",9
248,"April 15, 2021",9
249,"April 10, 2021",9
250,"January 13, 2019",9
251,"September 22, 2021",9
252,"February 07, 2021",9
253,"March 18, 2020",9
254,"March 14, 2020",9
255,"August 27, 2020",9
256,"January 28, 2021",9
257,"November 24, 2021",9
258,"November 20, 2021",9
259,"September 30, 2018",9
260,"September 07, 2021",9
261,"December 27, 2019",9
262,"November 17, 2020",9
263,"November 20, 2019",9
264,"January 26, 2020",9
265,"December 11, 2018",9
266,"December 01, 2021",9
267,"March 07, 2021",9
268,"November 15, 2019",9
269,"February 10, 2021",9
270,"October 07, 2021",9
271,"January 14, 2020",9
272,"August 03, 2021",9
273,"December 21, 2021",9
274,"December 01, 2017",9
275,"May 07, 2021",9
276,"November 10, 2020",9
277,"December 30, 2019",9
278,"June 15, 2021",8
279,"August 13, 2020",8
280,"February 24, 2020",8
281,"November 03, 2021",8
282,"September 18, 2021",8
283,"September 30, 2021",8
284,"January 28, 2019",8
285,"April 25, 2020",8
286,"November 09, 2021",8
287,"December 12, 2019",8
288,"April 18, 2021",8
289,"April 11, 2021",8
290,"April 07, 2018",8
291,"September 17, 2019",8
292,"May 01, 2020",8
293,"May 29, 2017",8
294,"March 07, 2020",8
295,"August 23, 2018",8
296,"August 17, 2021",8
297,"June 22, 2021",8
298,"January 09, 2021",8
299,"August 06, 2020",8
300,"April 23, 2020",8
301,"October 11, 2018",8
302,"September 17, 2020",8
303,"May 31, 2021",8
304,"April 03, 2020",8
305,"January 19, 2022",8
306,"April 27, 2020",8
307,"November 13, 2020",8
308,"February 13, 2018",8
309,"August 10, 2021",8
310,"January 14, 2019",8
311,"December 22, 2020",8
312,"January 23, 2021",8
313,"May 12, 2020",8
314,"November 04, 2019",8
315,"November 30, 2020",8
316,"December 28, 2019",8
317,"February 08, 2018",8
318,"August 26, 2020",8
319,"February 06, 2018",8
320,"December 06, 2019",8
321,"February 09, 2021",8
322,"July 26, 2021",8
323,"May 18, 2021",8
324,"March 30, 2021",8
325,"August 25, 2020",8
326,"January 03, 2020",8
327,"November 27, 2021",8
328,"December 16, 2021",8
329,"January 10, 2019",8
330,"April 13, 2020",8
331,"December 07, 2020",8
332,"June 27, 2020",8
333,"January 31, 2021",8
334,"December 17, 2018",8
335,"March 02, 2021",8
336,"January 01, 2020",8
337,"May 14, 2021",8
338,"November 09, 2018",8
339,"May 11, 2020",7
340,"June 21, 2020",7
341,"March 14, 2021",7
342,"December 10, 2020",7
343,"February 28, 2021",7
344,"December 29, 2018",7
345,"September 27, 2021",7
346,"February 14, 2018",7
347,"July 12, 2021",7
348,"December 08, 2016",7
349,"November 14, 2020",7
350,"September 22, 2020",7
351,"March 01, 2021",7
352,"July 06, 2020",7
353,"December 17, 2019",7
354,"March 12, 2021",7
355,"November 21, 2021",7
356,"December 04, 2020",7
357,"February 15, 2018",7
358,"April 02, 2021",7
359,"May 25, 2021",7
360,"June 12, 2021",7
361,"March 19, 2021",7
362,"December 16, 2020",7
363,"January 06, 2020",7
364,"February 13, 2020",7
365,"March 04, 2019",7
366,"March 13, 2021",7
367,"May 07, 2020",7
368,"August 30, 2021",7
369,"July 20, 2019",7
370,"August 23, 2021",7
371,"September 02, 2021",7
372,"May 13, 2020",7
373,"August 25, 2021",7
374,"October 23, 2020",7
375,"March 31, 2021",7
376,"April 09, 2021",7
377,"September 30, 2020",7
378,"October 10, 2020",7
379,"September 15, 2021",7
380,"March 21, 2018",7
381,"January 20, 2020",7
382,"February 22, 2020",7
383,"November 06, 2018",7
384,"October 18, 2021",7
385,"November 26, 2017",7
386,"December 27, 2017",7
387,"June 11, 2017",7
388,"March 11, 2018",7
389,"November 07, 2019",7
390,"April 28, 2018",7
391,"July 22, 2018",7
392,"January 27, 2021",7
393,"January 27, 2019",7
394,"August 21, 2021",7
395,"October 01, 2020",7
396,"June 20, 2021",7
397,"January 17, 2020",7
398,"November 18, 2020",7
399,"October 17, 2020",7
400,"May 22, 2021",7
401,"February 01, 2020",7
402,"August 28, 2021",7
403,"April 30, 2020",7
404,"December 28, 2020",7
405,"January 20, 2022",7
406,"February 09, 2020",7
407,"September 04, 2021",7
408,"July 17, 2019",7
409,"November 10, 2019",6
410,"April 08, 2021",6
411,"July 10, 2021",6
412,"June 05, 2021",6
413,"December 31, 2019",6
414,"August 30, 2020",6
415,"May 23, 2021",6
416,"March 07, 2018",6
417,"June 21, 2019",6
418,"November 28, 2017",6
419,"June 17, 2020",6
420,"June 19, 2021",6
421,"May 15, 2020",6
422,"October 26, 2020",6
423,"January 02, 2019",6
424,"August 31, 2020",6
425,"July 23, 2021",6
426,"October 30, 2021",6
427,"October 25, 2021",6
428,"May 08, 2021",6
429,"September 13, 2021",6
430,"August 17, 2020",6
431,"March 23, 2019",6
432,"December 25, 2020",6
433,"October 19, 2020",6
434,"December 24, 2020",6
435,"February 11, 2020",6
436,"May 29, 2021",6
437,"August 11, 2020",6
438,"December 08, 2012",6
439,"September 25, 2018",6
440,"May 03, 2021",6
441,"July 11, 2020",6
442,"October 28, 2018",6
443,"May 25, 2020",6
444,"July 17, 2021",6
445,"December 20, 2020",6
446,"September 26, 2018",6
447,"April 17, 2020",6
448,"September 18, 2016",6
449,"May 15, 2018",6
450,"May 27, 2021",6
451,"February 20, 2021",6
452,"June 24, 2020",6
453,"September 08, 2019",6
454,"September 01, 2021",6
455,"June 23, 2021",6
456,"September 21, 2020",6
457,"February 21, 2018",6
458,"January 03, 2021",6
459,"September 06, 2020",6
460,"January 17, 2019",6
461,"August 14, 2021",6
462,"January 14, 2018",6
463,"November 06, 2019",6
464,"March 09, 2018",6
465,"August 27, 2021",6
466,"May 02, 2019",6
467,"December 09, 2017",6
468,"November 10, 2017",6
469,"December 08, 2021",6
470,"June 20, 2020",6
471,"January 18, 2021",6
472,"March 03, 2021",6
473,"January 08, 2019",6
474,"January 23, 2019",6
475,"August 27, 2017",6
476,"April 17, 2021",6
477,"September 10, 2020",6
478,"March 09, 2021",6
479,"December 21, 2018",6
480,"April 10, 2020",6
481,"February 24, 2019",6
482,"October 06, 2020",6
483,"August 22, 2020",6
484,"December 22, 2018",6
485,"January 22, 2016",6
486,"February 19, 2018",6
487,"April 07, 2021",6
488,"March 12, 2020",6
489,"September 19, 2021",6
490,"December 23, 2019",6
491,"April 21, 2020",6
492,"October 12, 2020",6
493,"November 04, 2021",6
494,"August 01, 2020",6
495,"March 25, 2021",6
496,"February 16, 2021",6
497,"February 05, 2020",6
498,"October 11, 2020",6
499,"December 12, 2018",6
500,"May 26, 2020",6
501,"July 21, 2019",6
502,"May 20, 2021",6
503,"April 04, 2019",6
504,"July 08, 2020",6
505,"December 29, 2017",6
506,"October 26, 2017",5
507,"January 01, 2021",5
508,"September 25, 2020",5
509,"August 16, 2020",5
510,"November 23, 2019",5
511,"June 25, 2021",5
512,"September 24, 2020",5
513,"July 22, 2021",5
514,"December 09, 2020",5
515,"August 11, 2021",5
516,"February 02, 2020",5
517,"November 01, 2019",5
518,"July 29, 2020",5
519,"March 19, 2020",5
520,"December 15, 2018",5
521,"April 07, 2020",5
522,"May 09, 2021",5
523,"April 22, 2020",5
524,"August 07, 2021",5
525,"May 21, 2021",5
526,"May 04, 2021",5
527,"June 03, 2020",5
528,"July 25, 2021",5
529,"April 05, 2020",5
530,"March 16, 2021",5
531,"September 23, 2021",5
532,"December 01, 2020",5
533,"December 19, 2019",5
534,"February 21, 2019",5
535,"August 06, 2021",5
536,"November 26, 2020",5
537,"July 11, 2021",5
538,"November 16, 2021",5
539,"February 10, 2020",5
540,"May 02, 2021",5
541,"April 18, 2020",5
542,"October 11, 2017",5
543,"April 24, 2020",5
544,"March 04, 2021",5
545,"February 05, 2021",5
546,"February 18, 2018",5
547,"June 01, 2020",5
548,"September 03, 2021",5
549,"March 09, 2020",5
550,"February 27, 2017",5
551,"September 09, 2021",5
552,"February 11, 2019",5
553,"January 07, 2020",5
554,"May 23, 2020",5
555,"April 14, 2019",5
556,"June 13, 2020",5
557,"August 01, 2019",5
558,"September 01, 2020",5
559,"July 01, 2019",5
560,"December 02, 2018",5
561,"November 19, 2019",5
562,"June 26, 2019",5
563,"January 18, 2019",5
564,"January 19, 2020",5
565,"April 16, 2019",5
566,"October 14, 2020",5
567,"October 08, 2020",5
568,"November 26, 2019",5
569,"June 28, 2020",5
570,"October 08, 2018",5
571,"May 12, 2021",5
572,"April 22, 2018",5
573,"August 12, 2021",5
574,"January 04, 2020",5
575,"April 29, 2018",5
576,"December 24, 2017",5
577,"May 07, 2018",5
578,"November 01, 2021",5
579,"May 05, 2020",5
580,"May 10, 2011",5
581,"October 10, 2017",5
582,"October 08, 2021",5
583,"January 19, 2017",5
584,"February 14, 2021",5
585,"December 26, 2018",5
586,"April 01, 2021",5
587,"August 22, 2014",5
588,"November 11, 2020",5
589,"February 29, 2020",5
590,"October 28, 2021",5
591,"January 09, 2015",5
592,"December 30, 2018",5
593,"February 02, 2021",5
594,"November 30, 2019",5
595,"October 23, 2018",5
596,"December 25, 2019",5
597,"July 19, 2020",5
598,"January 11, 2018",5
599,"December 03, 2018",5
600,"August 04, 2021",5
601,"January 25, 2018",5
602,"September 10, 2021",5
603,"December 27, 2018",5
604,"August 23, 2020",5
605,"March 28, 2018",5
606,"July 26, 2020",5
607,"October 21, 2018",5
608,"January 14, 2021",5
609,"November 05, 2019",5
610,"June 25, 2019",5
611,"January 16, 2022",5
612,"November 24, 2020",5
613,"October 13, 2020",5
614,"June 26, 2021",5
615,"February 02, 2019",5
616,"January 04, 2019",5
617,"August 29, 2020",5
618,"October 26, 2018",5
619,"November 27, 2018",5
620,"July 07, 2020",5
621,"June 03, 2021",5
622,"February 24, 2018",5
623,"January 31, 2017",5
624,"March 26, 2020",5
625,"November 08, 2020",5
626,"June 02, 2020",5
627,"January 31, 2018",5
628,"January 11, 2021",5
629,"March 27, 2018",5
630,"November 21, 2020",5
631,"December 15, 2019",5
632,"December 21, 2019",5
633,"September 12, 2018",5
634,"August 25, 2019",5
635,"September 18, 2017",5
636,"September 29, 2021",5
637,"October 12, 2021",4
638,"April 15, 2020",4
639,"December 06, 2018",4
640,"July 28, 2021",4
641,"October 10, 2018",4
642,"January 09, 2020",4
643,"September 05, 2020",4
644,"August 17, 2018",4
645,"November 29, 2018",4
646,"November 04, 2020",4
647,"April 12, 2020",4
648,"July 22, 2020",4
649,"May 31, 2020",4
650,"November 21, 2018",4
651,"February 06, 2020",4
652,"August 19, 2019",4
653,"December 25, 2018",4
654,"June 25, 2020",4
655,"October 24, 2017",4
656,"January 03, 2019",4
657,"January 02, 2021",4
658,"June 29, 2021",4
659,"February 01, 2021",4
660,"May 10, 2021",4
661,"December 08, 2018",4
662,"July 05, 2021",4
663,"August 06, 2017",4
664,"June 08, 2020",4
665,"January 20, 2021",4
666,"November 14, 2021",4
667,"December 05, 2018",4
668,"March 10, 2021",4
669,"June 18, 2021",4
670,"January 31, 2020",4
671,"February 13, 2019",4
672,"September 17, 2018",4
673,"September 06, 2021",4
674,"June 24, 2021",4
675,"July 21, 2020",4
676,"April 01, 2020",4
677,"June 16, 2020",4
678,"March 08, 2021",4
679,"August 26, 2017",4
680,"July 28, 2020",4
681,"August 04, 2020",4
682,"October 31, 2021",4
683,"October 24, 2018",4
684,"June 30, 2020",4
685,"January 27, 2020",4
686,"January 18, 2020",4
687,"October 30, 2019",4
688,"February 12, 2019",4
689,"May 28, 2020",4
690,"October 17, 2019",4
691,"August 14, 2020",4
692,"October 11, 2021",4
693,"May 17, 2020",4
694,"April 24, 2018",4
695,"April 12, 2021",4
696,"September 18, 2020",4
697,"February 26, 2020",4
698,"June 12, 2020",4
699,"March 15, 2021",4
700,"July 20, 2021",4
701,"December 14, 2019",4
702,"September 06, 2018",4
703,"August 16, 2018",4
704,"December 28, 2018",4
705,"August 05, 2020",4
706,"December 20, 2018",4
707,"February 21, 2021",4
708,"December 05, 2019",4
709,"September 20, 2019",4
710,"June 28, 2019",4
711,"March 26, 2021",4
712,"February 21, 2020",4
713,"May 16, 2021",4
714,"August 29, 2021",4
715,"September 24, 2021",4
716,"February 18, 2020",4
717,"August 18, 2021",4
718,"December 29, 2020",4
719,"June 13, 2021",4
720,"August 29, 2018",4
721,"December 20, 2019",4
722,"June 11, 2021",4
723,"January 12, 2019",4
724,"August 04, 2019",4
725,"June 04, 2020",4
726,"April 16, 2021",4
727,"October 11, 2019",4
728,"February 27, 2020",4
729,"October 27, 2021",4
730,"April 18, 2019",4
731,"January 08, 2020",4
732,"July 02, 2020",4
733,"September 23, 2018",4
734,"June 16, 2021",4
735,"May 08, 2018",4
736,"April 24, 2021",4
737,"October 18, 2018",4
738,"November 28, 2019",4
739,"April 14, 2020",4
740,"August 13, 2021",4
741,"September 20, 2021",4
742,"May 06, 2020",4
743,"April 30, 2021",4
744,"March 01, 2018",4
745,"April 20, 2019",4
746,"October 09, 2020",4
747,"October 07, 2020",4
748,"May 18, 2020",4
749,"May 26, 2018",4
750,"January 24, 2020",4
751,"March 11, 2020",3
752,"August 12, 2020",3
753,"November 13, 2021",3
754,"August 20, 2021",3
755,"October 27, 2018",3
756,"March 13, 2019",3
757,"March 08, 2020",3
758,"January 16, 2019",3
759,"August 26, 2019",3
760,"July 16, 2020",3
761,"December 09, 2019",3
762,"August 24, 2017",3
763,"June 02, 2018",3
764,"November 28, 2018",3
765,"February 25, 2018",3
766,"January 28, 2018",3
767,"February 08, 2021",3
768,"March 29, 2016",3
769,"November 10, 2021",3
770,"December 27, 2020",3
771,"June 15, 2020",3
772,"July 04, 2021",3
773,"May 27, 2018",3
774,"January 16, 2021",3
775,"July 24, 2021",3
776,"August 18, 2020",3
777,"October 05, 2021",3
778,"October 08, 2019",3
779,"May 26, 2021",3
780,"August 17, 2017",3
781,"May 30, 2020",3
782,"March 24, 2019",3
783,"May 01, 2021",3
784,"January 13, 2020",3
785,"December 24, 2019",3
786,"July 30, 2020",3
787,"July 06, 2021",3
788,"July 29, 2021",3
789,"February 26, 2018",3
790,"December 22, 2019",3
791,"July 14, 2019",3
792,"January 10, 2020",3
793,"March 17, 2020",3
794,"May 27, 2019",3
795,"August 05, 2017",3
796,"March 28, 2020",3
797,"January 11, 2019",3
798,"July 16, 2021",3
799,"August 08, 2021",3
800,"July 23, 2020",3
801,"November 12, 2020",3
802,"January 11, 2017",3
803,"April 06, 2021",3
804,"November 18, 2019",3
805,"June 01, 2021",3
806,"January 30, 2021",3
807,"April 09, 2020",3
808,"January 15, 2019",3
809,"June 06, 2019",3
810,"February 24, 2021",3
811,"March 15, 2017",3
812,"January 29, 2012",3
813,"September 02, 2015",3
814,"September 16, 2018",3
815,"March 10, 2015",3
816,"August 31, 2021",3
817,"May 24, 2021",3
818,"October 17, 2021",3
819,"January 25, 2019",3
820,"April 16, 2020",3
821,"January 09, 2019",3
822,"July 09, 2019",3
823,"February 11, 2021",3
824,"December 18, 2017",3
825,"April 29, 2020",3
826,"May 11, 2019",3
827,"April 02, 2020",3
828,"May 04, 2017",3
829,"November 11, 2021",3
830,"March 22, 2018",3
831,"November 01, 2018",3
832,"November 12, 2019",3
833,"February 19, 2020",3
834,"May 10, 2019",3
835,"September 06, 2019",3
836,"November 24, 2019",3
837,"July 06, 2019",3
838,"March 25, 2018",3
839,"February 04, 2020",3
840,"December 19, 2017",3
841,"June 17, 2019",3
842,"September 09, 2020",3
843,"May 05, 2019",3
844,"October 30, 2016",3
845,"February 19, 2019",3
846,"September 13, 2020",3
847,"August 01, 2021",3
848,"January 22, 2018",3
849,"September 30, 2014",3
850,"June 09, 2017",3
851,"March 06, 2020",3
852,"September 25, 2016",3
853,"August 15, 2018",3
854,"May 19, 2021",3
855,"February 14, 2019",3
856,"January 27, 2017",3
857,"December 03, 2019",3
