product_title,asin,author,review,rating,date,url
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Just sayin'..,"I have had this scent for almost 20 years, give it take. The last one I had was bought about 5ish years ago and cycled seasonly with other Yankee Candles. It definitely always had a cinnamon smell but not like this. This one is almost satirical! This Home Sweet Home candle has such an exaggerated cinnamon smell, it burns the throat to smell it! You'll notice I made a point to let it be known I haven't bought a HSH Yankee candle in about 5 years. I did that incase Yankee has changed the formula to increase the Cinnamon. Or maybe it was a mistake buying on Amazon? Maybe it's a second? Or maybe I am just getting old and my olfactory glands are 'going' first? The only problem with the latter is the previous HSH candle I had was at it's wicks end and I was able to compare. So if it's my olfactory senses, they went haywire overnight. Yankee offers candles with Cinnamon in the name to let it be known cinnamon is what you're going to get. Wow, if they are more 'cinnamony' than this, it would double as a tear gas agent. Just imagine putting a Yankee cinnamon candle on a warmer during the holidays. One could clear out any family or friend visitors from sheer discomfort alone! This HSH is more than half way there. One could use this to politely clear any guests out of the home. It's just too much!",2.0,2021-12-19,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=2
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Teena,Please don’t by this scent. Home Sweet Home it is NOT.  It smells like an old man cologne. It just stinks!!!! I didn't return it because I lit it/ used. Recommend not to buy this candle scent unless you like old guy cologne smell. Lol,1.0,2020-05-24,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=2
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Kindle Customer,"I always get this scent from Yankee Candle, so the candle itself was fine, but both of the candles had melted some and leaked into the packaging and around the top, but it works fine. Maybe next time I’ll only order during the winter months.",4.0,2019-11-01,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=2
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,danielle kristjanson,"This Yankee Candle smells amazing! It smells like a variety of warm spices and it has a hint of sweetness to it. It's not your typical fall scent so it can be used all year long, but it still puts me in the holiday spirit. I noticed it filled my entire bedroom with fragrance within only 20 minutes, which isn't typical for Yankee Candle nowadays. A lot of Yankee Candles are hit and miss in recent years with issues such as tunneling and no throw, but this candle was a hit! It's melting to the edges and smells lovely. This candle might have put my faith back in the brand.",5.0,2020-09-30,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=2
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Big Daddy and Babs,"First let me say that my wife and I are Yankee Candle lovers. It is the only brand of candles we purchase. Over the course of many years we have only had a few issues with their products. This was the first time we purchased the Sparkling Cinnamon scented candles which we wanted for the holidays and in regards to this variety they did not throw much scent at all, about halfway burned it started throwing a great deal of soot which was all over our coffee table and ,because of the double wicks, the candles burned twice as fast. This is a trick with every candle maker. The more wicks, the faster they burn and the more often you have to buy new candles. Please keep this in mind when buying candles. I would not recommend purchasing this particular holiday scent, but they have a great many of other high quality candles that we love. Our favorite is the single wick large pillar Midsummer Night scented candles. They give off a great deal of scent, that fragrance is wonderful (in our opinion-of course) and they last a month or more of daily use.",2.0,2020-01-29,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=2
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,No one,"DO NOT BUY!! Set your money on fire. It will smell better and smoke less. I find it hard to believe, that this is even a real Yankee Candle. If it is, I will never buy one again. It smells good when you open the box. The moment you snip the wick and light the candle, the disappointment begins. Smells like a rip off and smokes like chimney. The seller should be ashamed of themselves.",1.0,2019-11-20,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=2
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,M3isme,"With the closure of the Yankee Candle stores, I've struggled to find new Yankee Candle scents I like...it's hard to ""guess"" what something will smell like.  I found this candle at TJ Maxx (or something like that) and loved it, but, of course, when I went back to find more, they didn't have any.  This is why I love Amazon...if you know what you want, you can bet someone is selling it!!  Anyway, I love this warm scent...not too overpowering, but definitely a spicy vanilla smell...like you baked something fabulous!",5.0,2019-08-09,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=2
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Donna Bigler,"I, literally, NEVER write reviews...so this is a first. I was so excited to find a cinnamon candle. I had one from Gold Canyon Candles and it was the best I have ever found. Sadly, they quit making them. I bought this, hoping it would be close. Let me say...it is awful! I've had it burning for hours and can only smell it, if I walk close to it...then I can barely smell it.  I will never by another Yankee Candle.",1.0,2018-11-20,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=2
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,anne,"Don't be a sucker like i was. Even after all the warnings, all the people who were like, THERE IS NO SMELL, i was like, but the RATINGS. they are so HIGH. Don't be fooled. I have been burning this dumb candle for a whole day and it smells like MAYBE a cinnamon stick two rooms away sneezed into a tissue. And that is only if you have your face over the burning flame. And even then I wasn't even sure. The only time i smelled anything was when i first opened the candle, and it seemed to evaporate. Even after i closed it and tried to let the smell build up again nothing happened. DO NOT BUY IT. Save your money. Get two cinnamon sticks and rub them together. It would be a better use of time and money.",1.0,2020-02-25,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=2
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,RSS,"The scent is good if you like a really spicey aroma. I am not too happy about it but I hope the person I give it to likes the scent. Because it smells so spicey, I would recommend using it in a kitchen, breakfast room or dining room. I bought this to give to someone for a housewarming gift because the name of the candle is Home Sweet Home. I was very happy with the way this candle was packaged. It was wrapped very well in a shell of fitted cardboard and then boxed. It was delivered quickly and was completely intact, which is great because the candle is in a glass jar. I think this candle was too expensive, but I think all Yankee Candles are too expensive. I wish Yankee Candle would make more candle scents for housewarming gifts and name them accordingly.",3.0,2021-10-14,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=3
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,kellygirl925,This is one of my favorite selling candles from Yankee. The smell is wonderful and the candle last a long time. The price was a lot cheaper than at the Yankees store.,5.0,2020-08-14,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=3
Yankee Candle Large Jar Candle Home Sweet Home,B000WUFVR0,Beth Lavoie,"Yankee Candle's Home Sweet Home was my favorite scented candle anywhere.  I loved the cinnamon smell.  I have not had a scented candle for years, since this fragrance was hard to find in local stores.  When I found it on amazon, I ordered it.  The appearance of the candle was not as dark a red as I remembered; however, the most disappointing aspect - hardly any smell.  Yankee Candles were always known for their strong scents, and this one didn't really have any.  I had purchased another Yankee candle from a local store around the holidays, and this one really didn't provide much fragrance either.  Perhaps these candles were well past their use dates.",1.0,2020-01-20,https://www.amazon.com/product-reviews/B000WUFVR0/?pageNumber=3
