,date,new_cases,reviews,reviews_rolling_avg,cases_rolling_avg
93,2020-06-02,21209.0,0.0,0.5714285714285714,20731.0
94,2020-06-03,19299.0,0.0,0.0,20786.14285714286
95,2020-06-04,28051.0,0.0,0.0,21783.714285714286
96,2020-06-05,26369.0,1.0,0.14285714285714285,21944.85714285714
97,2020-06-06,20340.0,1.0,0.2857142857142857,21545.0
98,2020-06-07,17742.0,0.0,0.2857142857142857,21467.0
99,2020-06-08,16922.0,0.0,0.2857142857142857,21418.85714285714
100,2020-06-09,20287.0,0.0,0.2857142857142857,21287.14285714286
101,2020-06-10,21648.0,0.0,0.2857142857142857,21622.714285714286
102,2020-06-11,22078.0,1.0,0.42857142857142855,20769.428571428572
103,2020-06-12,25786.0,1.0,0.42857142857142855,20686.14285714286
104,2020-06-13,24071.0,1.0,0.42857142857142855,21219.14285714286
105,2020-06-14,19092.0,0.0,0.42857142857142855,21412.0
106,2020-06-15,20951.0,0.0,0.42857142857142855,21987.571428571428
107,2020-06-16,24668.0,0.0,0.42857142857142855,22613.428571428572
108,2020-06-17,27018.0,0.0,0.42857142857142855,23380.571428571428
109,2020-06-18,27779.0,0.0,0.2857142857142857,24195.0
110,2020-06-19,31572.0,0.0,0.14285714285714285,25021.571428571428
111,2020-06-20,31838.0,0.0,0.0,26131.14285714286
112,2020-06-21,25914.0,1.0,0.14285714285714285,27105.714285714286
113,2020-06-22,29550.0,0.0,0.14285714285714285,28334.14285714286
114,2020-06-23,38326.0,0.0,0.14285714285714285,30285.285714285714
115,2020-06-24,36350.0,0.0,0.14285714285714285,31618.428571428572
116,2020-06-25,39106.0,0.0,0.14285714285714285,33236.57142857143
117,2020-06-26,49550.0,2.0,0.42857142857142855,35804.857142857145
118,2020-06-27,41268.0,0.0,0.42857142857142855,37152.0
119,2020-06-28,42262.0,0.0,0.2857142857142857,39487.42857142857
120,2020-06-29,41660.0,0.0,0.2857142857142857,41217.42857142857
121,2020-06-30,49382.0,1.0,0.42857142857142855,42796.857142857145
122,2020-07-01,49500.0,0.0,0.42857142857142855,44675.42857142857
123,2020-07-02,54583.0,0.0,0.42857142857142855,46886.42857142857
124,2020-07-03,51991.0,0.0,0.14285714285714285,47235.142857142855
125,2020-07-04,45949.0,0.0,0.14285714285714285,47903.857142857145
126,2020-07-05,53572.0,0.0,0.14285714285714285,49519.57142857143
127,2020-07-06,42981.0,0.0,0.14285714285714285,49708.28571428572
128,2020-07-07,56563.0,0.0,0.0,50734.142857142855
129,2020-07-08,61044.0,1.0,0.14285714285714285,52383.28571428572
130,2020-07-09,59381.0,5.0,0.8571428571428571,53068.71428571428
131,2020-07-10,68780.0,0.0,0.8571428571428571,55467.142857142855
132,2020-07-11,60735.0,3.0,1.2857142857142858,57579.42857142857
133,2020-07-12,58821.0,0.0,1.2857142857142858,58329.28571428572
134,2020-07-13,60998.0,0.0,1.2857142857142858,60903.142857142855
135,2020-07-14,65062.0,5.0,2.0,62117.28571428572
136,2020-07-15,66334.0,1.0,2.0,62873.0
137,2020-07-16,70354.0,1.0,1.4285714285714286,64440.57142857143
138,2020-07-17,66653.0,0.0,1.4285714285714286,64136.71428571428
139,2020-07-18,64716.0,0.0,1.0,64705.42857142857
140,2020-07-19,59164.0,0.0,1.0,64754.42857142857
141,2020-07-20,61121.0,0.0,1.0,64772.0
142,2020-07-21,67170.0,2.0,0.5714285714285714,65073.142857142855
143,2020-07-22,68072.0,3.0,0.8571428571428571,65321.42857142857
144,2020-07-23,67969.0,0.0,0.7142857142857143,64980.71428571428
145,2020-07-24,75410.0,0.0,0.7142857142857143,66231.71428571429
146,2020-07-25,62828.0,3.0,1.1428571428571428,65962.0
147,2020-07-26,56708.0,2.0,1.4285714285714286,65611.14285714286
148,2020-07-27,60297.0,0.0,1.4285714285714286,65493.42857142857
149,2020-07-28,64967.0,0.0,1.1428571428571428,65178.71428571428
150,2020-07-29,64740.0,0.0,0.7142857142857143,64702.71428571428
151,2020-07-30,67704.0,0.0,0.7142857142857143,64664.857142857145
152,2020-07-31,65955.0,0.0,0.7142857142857143,63314.142857142855
153,2020-08-01,57725.0,0.0,0.2857142857142857,62585.142857142855
154,2020-08-02,47410.0,1.0,0.14285714285714285,61256.857142857145
155,2020-08-03,40877.0,0.0,0.14285714285714285,58482.57142857143
156,2020-08-04,61762.0,0.0,0.14285714285714285,58024.71428571428
157,2020-08-05,54667.0,0.0,0.14285714285714285,56585.71428571428
158,2020-08-06,59636.0,0.0,0.14285714285714285,55433.142857142855
159,2020-08-07,61220.0,0.0,0.14285714285714285,54756.71428571428
160,2020-08-08,63729.0,1.0,0.2857142857142857,55614.42857142857
161,2020-08-09,54799.0,0.0,0.14285714285714285,56670.0
162,2020-08-10,51912.0,0.0,0.14285714285714285,58246.42857142857
163,2020-08-11,56244.0,0.0,0.14285714285714285,57458.142857142855
164,2020-08-12,55359.0,0.0,0.14285714285714285,57557.0
165,2020-08-13,51335.0,0.0,0.14285714285714285,56371.142857142855
166,2020-08-14,70734.0,0.0,0.14285714285714285,57730.28571428572
167,2020-08-15,51745.0,0.0,0.0,56018.28571428572
168,2020-08-16,35318.0,0.0,0.0,53235.28571428572
169,2020-08-17,37974.0,1.0,0.14285714285714285,51244.142857142855
170,2020-08-18,44123.0,0.0,0.14285714285714285,49512.57142857143
171,2020-08-19,46494.0,0.0,0.14285714285714285,48246.142857142855
172,2020-08-20,44112.0,0.0,0.14285714285714285,47214.28571428572
173,2020-08-21,48710.0,1.0,0.2857142857142857,44068.0
174,2020-08-22,44615.0,1.0,0.42857142857142855,43049.42857142857
175,2020-08-23,32973.0,1.0,0.5714285714285714,42714.42857142857
176,2020-08-24,33840.0,0.0,0.42857142857142855,42123.857142857145
177,2020-08-25,41783.0,3.0,0.8571428571428571,41789.57142857143
178,2020-08-26,42615.0,6.0,1.7142857142857142,41235.42857142857
179,2020-08-27,50046.0,0.0,1.7142857142857142,42083.142857142855
180,2020-08-28,46922.0,0.0,1.5714285714285714,41827.71428571428
181,2020-08-29,43194.0,0.0,1.4285714285714286,41624.71428571428
182,2020-08-30,33610.0,0.0,1.2857142857142858,41715.71428571428
183,2020-08-31,33865.0,0.0,1.2857142857142858,41719.28571428572
184,2020-09-01,41608.0,0.0,0.8571428571428571,41694.28571428572
185,2020-09-02,40188.0,0.0,0.0,41347.57142857143
186,2020-09-03,45227.0,0.0,0.0,40659.142857142855
187,2020-09-04,48266.0,0.0,0.0,40851.142857142855
188,2020-09-05,42905.0,0.0,0.0,40809.857142857145
189,2020-09-06,30189.0,2.0,0.2857142857142857,40321.142857142855
190,2020-09-07,24862.0,4.0,0.8571428571428571,39035.0
191,2020-09-08,26407.0,0.0,0.8571428571428571,36863.42857142857
192,2020-09-09,33264.0,1.0,1.0,35874.28571428572
193,2020-09-10,39177.0,0.0,1.0,35010.0
194,2020-09-11,45038.0,0.0,1.0,34548.857142857145
195,2020-09-12,45312.0,0.0,1.0,34892.71428571428
196,2020-09-13,40008.0,0.0,0.7142857142857143,36295.42857142857
197,2020-09-14,33445.0,0.0,0.14285714285714285,37521.57142857143
198,2020-09-15,36215.0,0.0,0.14285714285714285,38922.71428571428
199,2020-09-16,38969.0,3.0,0.42857142857142855,39737.71428571428
200,2020-09-17,44440.0,2.0,0.7142857142857143,40489.57142857143
201,2020-09-18,51171.0,2.0,1.0,41365.71428571428
202,2020-09-19,44619.0,0.0,1.0,41266.71428571428
203,2020-09-20,42730.0,0.0,1.0,41655.57142857143
204,2020-09-21,32302.0,0.0,1.0,41492.28571428572
205,2020-09-22,37167.0,0.0,1.0,41628.28571428572
206,2020-09-23,41861.0,1.0,0.7142857142857143,42041.42857142857
207,2020-09-24,48421.0,3.0,0.8571428571428571,42610.142857142855
208,2020-09-25,47500.0,0.0,0.5714285714285714,42085.71428571428
209,2020-09-26,43028.0,0.0,0.5714285714285714,41858.42857142857
210,2020-09-27,34613.0,0.0,0.5714285714285714,40698.857142857145
211,2020-09-28,37650.0,0.0,0.5714285714285714,41462.857142857145
212,2020-09-29,41701.0,2.0,0.8571428571428571,42110.57142857143
213,2020-09-30,38817.0,0.0,0.7142857142857143,41675.71428571428
214,2020-10-01,46301.0,0.0,0.2857142857142857,41372.857142857145
215,2020-10-02,53250.0,5.0,1.0,42194.28571428572
216,2020-10-03,49154.0,1.0,1.1428571428571428,43069.42857142857
217,2020-10-04,33054.0,4.0,1.7142857142857142,42846.71428571428
218,2020-10-05,37458.0,8.0,2.857142857142857,42819.28571428572
219,2020-10-06,44239.0,3.0,3.0,43181.857142857145
220,2020-10-07,49359.0,2.0,3.2857142857142856,44687.857142857145
221,2020-10-08,57777.0,4.0,3.857142857142857,46327.28571428572
222,2020-10-09,55284.0,0.0,3.142857142857143,46617.857142857145
223,2020-10-10,55096.0,3.0,3.4285714285714284,47466.71428571428
224,2020-10-11,46204.0,4.0,3.4285714285714284,49345.28571428572
225,2020-10-12,43805.0,0.0,2.2857142857142856,50252.0
226,2020-10-13,49579.0,4.0,2.4285714285714284,51014.857142857145
227,2020-10-14,57859.0,3.0,2.5714285714285716,52229.142857142855
228,2020-10-15,64240.0,0.0,2.0,53152.42857142857
229,2020-10-16,69230.0,0.0,2.0,55144.71428571428
230,2020-10-17,54857.0,1.0,1.7142857142857142,55110.57142857143
231,2020-10-18,52220.0,3.0,1.5714285714285714,55970.0
232,2020-10-19,68637.0,0.0,1.5714285714285714,59517.42857142857
233,2020-10-20,61810.0,4.0,1.5714285714285714,61264.71428571428
234,2020-10-21,60735.0,9.0,2.4285714285714284,61675.57142857143
235,2020-10-22,78494.0,3.0,2.857142857142857,63711.857142857145
236,2020-10-23,82548.0,1.0,3.0,65614.42857142857
237,2020-10-24,77461.0,4.0,3.4285714285714284,68843.57142857143
238,2020-10-25,61716.0,2.0,3.2857142857142856,70200.14285714286
239,2020-10-26,64973.0,0.0,3.2857142857142856,69676.71428571429
240,2020-10-27,76764.0,6.0,3.5714285714285716,71813.0
241,2020-10-28,85809.0,3.0,2.7142857142857144,75395.0
242,2020-10-29,91447.0,1.0,2.4285714285714284,77245.42857142857
243,2020-10-30,99972.0,2.0,2.5714285714285716,79734.57142857143
244,2020-10-31,88665.0,4.0,2.5714285714285716,81335.14285714286
245,2020-11-01,76275.0,1.0,2.4285714285714284,83415.0
246,2020-11-02,82845.0,0.0,2.4285714285714284,85968.14285714286
247,2020-11-03,123535.0,3.0,2.0,92649.71428571429
248,2020-11-04,100623.0,0.0,1.5714285714285714,94766.0
249,2020-11-05,128379.0,0.0,1.4285714285714286,100042.0
250,2020-11-06,124964.0,7.0,2.142857142857143,103612.28571428571
251,2020-11-07,128465.0,0.0,1.5714285714285714,109298.0
252,2020-11-08,117900.0,0.0,1.4285714285714286,115244.42857142857
253,2020-11-09,120569.0,6.0,2.2857142857142856,120633.57142857143
254,2020-11-10,135275.0,2.0,2.142857142857143,122310.71428571429
255,2020-11-11,146665.0,2.0,2.4285714285714284,128888.14285714286
256,2020-11-12,159292.0,1.0,2.5714285714285716,133304.2857142857
257,2020-11-13,178118.0,1.0,1.7142857142857142,140897.7142857143
258,2020-11-14,165251.0,0.0,1.7142857142857142,146152.85714285713
259,2020-11-15,138943.0,6.0,2.5714285714285716,149159.0
260,2020-11-16,156350.0,1.0,1.8571428571428572,154270.57142857142
