,norm_reviews,norm_cases
0,0.001201923076923077,1.0617235890303992e-07
1,0.0,3.4885203639570264e-07
2,0.0,2.8818211702253693e-07
3,0.0,5.005268348286168e-07
4,0.0,1.1678959479334393e-06
5,0.001201923076923077,8.038764316944451e-07
6,0.004807692307692308,2.5178016539863756e-06
7,0.0,1.7594276618218046e-06
8,0.0,1.1375609882468564e-06
9,0.0,2.8514862105387865e-06
10,0.0,5.536130142801367e-06
11,0.007211538461538462,6.658523651204933e-06
12,0.0,9.601014740803467e-06
13,0.0,1.1512117201058187e-05
14,0.0,3.549190283330192e-06
15,0.0,2.225069293010851e-05
16,0.001201923076923077,2.780199055275317e-05
17,0.0,4.0299993943625296e-05
18,0.003605769230769231,6.816265441575164e-05
19,0.0,9.657134416223646e-05
20,0.0,9.092904166053205e-05
21,0.0,0.00013527875272231616
22,0.0,0.0001691477352123859
23,0.0,0.00016104830097606827
24,0.0,0.00018393602805959503
25,0.006009615384615385,0.00027029965828729636
26,0.0,0.00028197861776663077
27,0.0,0.000336172023246711
28,0.0,0.0002446059474327607
29,0.0,0.00033602034844827807
30,0.001201923076923077,0.0004001332857458709
31,0.0,0.0004770475760312017
32,0.002403846153846154,0.00048669409321153503
33,0.001201923076923077,0.0004884535208733568
34,0.0,0.0004837060996824066
35,0.0,0.00044352744557752766
36,0.0,0.0004812489679477934
37,0.002403846153846154,0.0004560102814885565
38,0.0,0.0004713749385698107
39,0.0,0.0005401291246994507
40,0.002403846153846154,0.000520836090338784
41,0.003605769230769231,0.00043793064551535314
42,0.0,0.0004011950093349013
43,0.002403846153846154,0.00041014382244244327
44,0.0,0.00042998288607746843
45,0.002403846153846154,0.00038874250838355907
46,0.0,0.0004500039594706131
47,0.0,0.0004974023339808988
48,0.0,0.0004180157444811115
49,0.0,0.00038890935066183523
50,0.0,0.0004554187497746681
51,0.0,0.0003932472498970166
52,0.0,0.00044571156267496164
53,0.001201923076923077,0.0004910774948862463
54,0.003605769230769231,0.0004844796411544145
55,0.002403846153846154,0.0004711777613318479
56,0.0,0.00039646275562379437
57,0.003605769230769231,0.00037355986106042433
58,0.001201923076923077,0.00037070837484988554
59,0.0,0.0004035308012307682
60,0.0,0.00044078213172589194
61,0.0,0.0005350025165124181
62,0.0,0.0004141328696412289
63,0.0,0.00036224492109732895
64,0.003605769230769231,0.0003621994186577991
65,0.002403846153846154,0.0003630032950894935
66,0.0,0.0003712847390839306
67,0.0,0.000417105695690514
68,0.006009615384615385,0.0004147850712744904
69,0.0,0.0003723312951931177
70,0.0,0.00028388972022688546
71,0.003605769230769231,0.00028903149589376125
72,0.0,0.0003523102217999731
73,0.006009615384615385,0.00030275806515194
74,0.0,0.00039392978648996474
75,0.0,0.00037738206598093377
76,0.0,0.00036594578617909205
77,0.002403846153846154,0.0002787024421204798
78,0.0,0.00034263336965995316
79,0.01201923076923077,0.00031170687825948193
80,0.0,0.0003422996851034007
81,0.0,0.0003849354709428929
82,0.001201923076923077,0.0003626696105329411
83,0.0,0.00030571572372138184
84,0.0,0.0003060949107174641
85,0.0,0.0002870142210746035
86,0.0,0.000283343690952527
87,0.004807692307692308,0.0002868625462761706
88,0.0,0.00031954846533846363
89,0.0,0.00038284235872451867
90,0.0,0.0003509603160939201
91,0.0,0.00027738287137411344
92,0.0,0.0002617755346153666
93,0.0,0.0003216870799963677
94,0.0,0.0002927171934956811
95,0.0,0.0004254629770841676
96,0.001201923076923077,0.00039995127598775143
97,0.001201923076923077,0.00030850654001254743
98,0.0,0.00026910142737967635
99,0.0,0.0002566640939081774
100,0.0,0.000307702663580853
101,0.0,0.00032834560364757264
102,0.001201923076923077,0.00033486761998018793
103,0.001201923076923077,0.0003911086352391125
104,0.001201923076923077,0.00036509640730786775
105,0.0,0.0002895775251681198
106,0.0,0.0003177738701967985
107,0.0,0.0003741513927743127
108,0.0,0.00040979497040604756
109,0.0,0.0004213374225667923
110,0.0,0.00047886767361239666
111,0.0,0.0004829022232507122
112,0.001201923076923077,0.00039305007265905384
113,0.0,0.0004481990293692614
114,0.0,0.0005813088324739869
115,0.0,0.000551337892303643
116,0.0,0.0005931394667517542
117,0.002403846153846154,0.0007515486262350898
118,0.0,0.0006259315581729503
119,0.0,0.0006410080331371819
120,0.0,0.0006318772102715204
121,0.001201923076923077,0.0007490004896214169
122,0.0,0.0007507902522429252
123,0.0,0.0008278865522863755
124,0.0,0.0007885724445325642
125,0.0,0.0006969305313193973
126,0.0,0.0008125522301648079
127,0.0,0.0006519134511445084
128,0.0,0.0008579181623760925
129,0.001201923076923077,0.0009258836395538814
130,0.006009615384615385,0.0009006601205744877
131,0.0,0.0010432192636215837
132,0.003605769230769231,0.0009211968882823043
133,0.0,0.0008921663318622445
134,0.0,0.00092518593548109
135,0.006009615384615385,0.0009868265735642262
136,0.001201923076923077,0.001006119607924893
137,0.001201923076923077,0.0010670928768949245
138,0.0,0.001010958033994903
139,0.0,0.0009815786255384475
140,0.0,0.0008973687774484934
141,0.0,0.0009270515355018148
142,0.002403846153846154,0.0010187996210738845
143,0.003605769230769231,0.0010324806878925334
144,0.0,0.0010309184374686744
145,0.0,0.0011437796549826058
146,0.003605769230769231,0.0009529424235943132
147,0.002403846153846154,0.0008601174469533698
148,0.0,0.0009145535321109427
149,0.0,0.0009853856629791135
150,0.0,0.0009819426450546865
151,0.0,0.0010268990553102021
152,0.0,0.0010003711330642854
153,0.0,0.0008755427739539971
154,0.001201923076923077,0.0007190902193704461
155,0.0,0.0006200010735542233
156,0.0,0.0009367738900813645
