date,norm_reviews,norm_new_cases,norm_reviews_rolling_avg,norm_cases_rolling_avg
2021-10-01,0.5,0.23879619796557808,0.17391304347826086,0.11865759891277151
2021-10-02,0.0,0.04990565126953896,0.17391304347826086,0.1134603934785371
2021-10-03,0.0,0.04393930085396572,0.17391304347826086,0.10970721758923387
2021-10-04,0.625,0.22274725949850357,0.391304347826087,0.1035078643236673
2021-10-05,0.0,0.13480546608272848,0.391304347826087,0.09598546777233943
2021-10-06,0.0,0.16573254109655167,0.391304347826087,0.09252413328956437
2021-10-07,0.0,0.1454883753587446,0.391304347826087,0.08823670983288719
2021-10-08,0.125,0.19861855905352865,0.2608695652173913,0.07831106651338848
2021-10-09,0.5,0.033577616092821595,0.4347826086956522,0.07427732392271275
2021-10-10,0.0,0.03569804895602033,0.4347826086956522,0.07224137235711156
2021-10-11,0.0,0.13852675554463353,0.2173913043478261,0.0514352049199344
2021-10-12,0.0,0.1624711468417311,0.2173913043478261,0.058269844456769526
2021-10-13,0.0,0.15847427132061892,0.2173913043478261,0.05647673269452009
2021-10-14,0.0,0.1200817981551532,0.2173913043478261,0.05020019106288816
2021-10-15,0.0,0.16020502198544836,0.17391304347826086,0.04071035846190471
2021-10-16,0.0,0.03627379562748488,0.0,0.04137643335109823
2021-10-17,0.0,0.021959118475675582,0.0,0.0379823134567509
2021-10-18,0.0,0.14300107952500898,0.0,0.03908766820450755
2021-10-19,0.0,0.11007468908802079,0.0,0.0261434394008448
2021-10-20,0.0,0.1288057644880155,0.0,0.018814013764680428
2021-10-21,0.625,0.10419434960812364,0.2173913043478261,0.014889115443007018
2021-10-22,0.25,0.13658185520322277,0.30434782608695654,0.009053154597456148
2021-10-23,0.0,0.023286144340392667,0.30434782608695654,0.005844633695670539
2021-10-24,0.0,0.0,0.30434782608695654,0.0004197659457938069
2021-10-25,0.0,0.16245710423998808,0.30434782608695654,0.00522625948213546
2021-10-26,0.0,0.08891950956213412,0.30434782608695654,0.0
2021-10-27,0.0,0.14710502988441185,0.30434782608695654,0.004520723124897269
2021-10-28,0.375,0.1003765172592352,0.2173913043478261,0.003577550674379118
2021-10-29,0.0,0.13439120933130885,0.13043478260869565,0.003036364826909413
2021-10-30,0.0,0.026851209857906424,0.13043478260869565,0.003917092756565654
2021-10-31,0.0,0.023619656131789818,0.13043478260869565,0.009752186317104566
2021-11-01,0.0,0.16308551066798901,0.13043478260869565,0.009907430334247314
2021-11-02,0.0,0.09197377544124488,0.13043478260869565,0.0106619682946618
2021-11-03,0.125,0.11725572455436681,0.17391304347826086,0.003287877480380923
2021-11-04,0.0,0.11087336206215606,0.043478260869565216,0.005881059666173308
2021-11-05,0.0,0.13713127199641914,0.043478260869565216,0.00655797561801644
2021-11-06,0.0,0.028144884543483795,0.043478260869565216,0.006877570144927675
2021-11-07,0.0,0.031141224690404513,0.043478260869565216,0.008735728283074897
2021-11-08,0.125,0.1588060277867982,0.08695652173913043,0.00767850785348258
2021-11-09,0.0,0.10777521305259832,0.08695652173913043,0.011582157692362708
2021-11-10,0.0,0.13540754263246124,0.043478260869565216,0.016066454846757252
2021-11-11,0.375,0.06687613547600031,0.17391304347826086,0.005197205434234423
2021-11-12,0.0,0.22163087265993206,0.17391304347826086,0.02607232202986322
2021-11-13,0.0,0.04377078963304926,0.17391304347826086,0.029932607618144827
2021-11-14,0.0,0.022201353355742984,0.17391304347826086,0.027724066335161415
2021-11-15,0.125,0.2040565565785201,0.17391304347826086,0.038902936496957786
2021-11-16,0.0,0.12024328807519813,0.17391304347826086,0.04198309921697174
2021-11-17,0.0,0.16520594353118775,0.17391304347826086,0.049344614398579054
2021-11-18,0.25,0.16083869438910295,0.13043478260869565,0.07255749774397487
2021-11-19,0.375,0.19019475333292377,0.2608695652173913,0.0647913941042832
2021-11-20,0.125,0.04604569111542141,0.30434782608695654,0.06535339479204025
2021-11-21,0.25,0.03626852965183124,0.391304347826087,0.06882860583500681
2021-11-22,0.0,0.22308603726555437,0.34782608695652173,0.07352972424239401
2021-11-23,0.125,0.12764198386856124,0.391304347826087,0.07535752740512226
2021-11-24,0.0,0.16319609615671543,0.391304347826087,0.07486100673576906
2021-11-25,0.125,0.035957837088266525,0.34782608695652173,0.04400994428994724
2021-11-26,0.0,0.05991451566188925,0.2173913043478261,0.011824997495714504
2021-11-27,0.25,0.013066640921896805,0.2608695652173913,0.0036777220932617343
2021-11-28,0.125,0.0420172197403874,0.2173913043478261,0.005097901300363764
2021-11-29,0.25,0.2969483671087161,0.30434782608695654,0.02334514430972137
2021-11-30,0.125,0.17336469514389277,0.30434782608695654,0.03464066430562778
2021-12-01,0.0,0.20787263360219066,0.30434782608695654,0.045677733367966926
2021-12-02,0.0,0.21177998753719096,0.2608695652173913,0.08911353497998957
2021-12-03,0.125,0.24587893521972284,0.30434782608695654,0.1350549229915956
2021-12-04,0.375,0.08253714706992338,0.34782608695652173,0.15221719245097784
2021-12-05,0.375,0.06265633365221741,0.4347826086956522,0.15731596103635354
2021-12-06,0.25,0.2824564021099009,0.4347826086956522,0.15373580850693852
2021-12-07,1.0,0.16617488305145736,0.7391304347826086,0.1519596088024225
2021-12-08,0.0,0.23012138073881638,0.7391304347826086,0.1574560275657868
2021-12-09,0.125,0.18233616233247615,0.782608695652174,0.15018210817038855
2021-12-10,0.0,0.24944049008680083,0.7391304347826086,0.15106196881503284
2021-12-11,0.125,0.06540166229298133,0.6521739130434783,0.1468287506716038
2021-12-12,0.0,0.05747636893425429,0.5217391304347826,0.14554907163644107
