date,new_cases,reviews
2020-09-17,44440.0,0.0
2020-09-18,51171.0,0.0
2020-09-19,44619.0,0.0
2020-09-20,42730.0,0.0
2020-09-21,32302.0,0.0
2020-09-22,37167.0,0.0
2020-09-23,41861.0,1.0
2020-09-24,48421.0,3.0
2020-09-25,47500.0,0.0
2020-09-26,43028.0,0.0
2020-09-27,34613.0,0.0
2020-09-28,37650.0,0.0
2020-09-29,41701.0,0.0
2020-09-30,38817.0,0.0
2020-10-01,46301.0,0.0
2020-10-02,53250.0,2.0
2020-10-03,49154.0,0.0
2020-10-04,33054.0,4.0
2020-10-05,37458.0,0.0
2020-10-06,44239.0,3.0
2020-10-07,49359.0,1.0
2020-10-08,57777.0,4.0
2020-10-09,55284.0,0.0
2020-10-10,55096.0,3.0
2020-10-11,46204.0,4.0
2020-10-12,43805.0,0.0
2020-10-13,49579.0,2.0
2020-10-14,57859.0,3.0
2020-10-15,64240.0,0.0
2020-10-16,69230.0,0.0
2020-10-17,54857.0,0.0
2020-10-18,52220.0,1.0
2020-10-19,68637.0,0.0
2020-10-20,61810.0,3.0
2020-10-21,60735.0,5.0
2020-10-22,78494.0,3.0
2020-10-23,82548.0,0.0
2020-10-24,77461.0,3.0
2020-10-25,61716.0,2.0
2020-10-26,64973.0,0.0
2020-10-27,76764.0,1.0
2020-10-28,85809.0,3.0
2020-10-29,91447.0,1.0
2020-10-30,99972.0,0.0
2020-10-31,88665.0,2.0
2020-11-01,76275.0,1.0
2020-11-02,82845.0,0.0
2020-11-03,123535.0,3.0
2020-11-04,100623.0,0.0
2020-11-05,128379.0,0.0
2020-11-06,124964.0,0.0
2020-11-07,128465.0,0.0
2020-11-08,117900.0,0.0
2020-11-09,120569.0,0.0
2020-11-10,135275.0,2.0
2020-11-11,146665.0,2.0
2020-11-12,159292.0,1.0
2020-11-13,178118.0,0.0
2020-11-14,165251.0,0.0
2020-11-15,138943.0,0.0
2020-11-16,156350.0,1.0
2020-11-17,162607.0,0.0
2020-11-18,172207.0,3.0
2020-11-19,192107.0,3.0
2020-11-20,200950.0,2.0
2020-11-21,181165.0,1.0
2020-11-22,146054.0,0.0
2020-11-23,183116.0,4.0
2020-11-24,172643.0,1.0
2020-11-25,180197.0,0.0
2020-11-26,116602.0,0.0
2020-11-27,213603.0,0.0
2020-11-28,170330.0,7.0
2020-11-29,138012.0,0.0
2020-11-30,157393.0,1.0
2020-12-01,195989.0,0.0
2020-12-02,197126.0,0.0
2020-12-03,219599.0,0.0
2020-12-04,234672.0,0.0
2020-12-05,223934.0,5.0
2020-12-06,178293.0,3.0
2020-12-07,196568.0,1.0
2020-12-08,224520.0,0.0
2020-12-09,220639.0,0.0
2020-12-10,234151.0,0.0
2020-12-11,240458.0,2.0
2020-12-12,222463.0,2.0
2020-12-13,191846.0,3.0
2020-12-14,212054.0,5.0
2020-12-15,223199.0,1.0
2020-12-16,236809.0,1.0
2020-12-17,238982.0,2.0
2020-12-18,250499.0,2.0
2020-12-19,198794.0,0.0
2020-12-20,193421.0,1.0
2020-12-21,200925.0,0.0
2020-12-22,203449.0,0.0
2020-12-23,222520.0,0.0
2020-12-24,211528.0,0.0
2020-12-25,120705.0,1.0
2020-12-26,226988.0,0.0
2020-12-27,135776.0,0.0
2020-12-28,173625.0,0.0
2020-12-29,202593.0,0.0
2020-12-30,219911.0,1.0
2020-12-31,312022.0,1.0
2021-01-01,172389.0,0.0
2021-01-02,282395.0,0.0
2021-01-03,204017.0,3.0
2021-01-04,185531.0,2.0
2021-01-05,229830.0,0.0
2021-01-06,260228.0,0.0
2021-01-07,287874.0,0.0
2021-01-08,304501.0,0.0
2021-01-09,263448.0,4.0
2021-01-10,212946.0,0.0
2021-01-11,203636.0,3.0
2021-01-12,220490.0,0.0
2021-01-13,229793.0,0.0
2021-01-14,234461.0,5.0
2021-01-15,247927.0,0.0
2021-01-16,215544.0,1.0
2021-01-17,178539.0,0.0
2021-01-18,141582.0,0.0
2021-01-19,154484.0,0.0
2021-01-20,188540.0,0.0
2021-01-21,191356.0,4.0
2021-01-22,193247.0,0.0
2021-01-23,177842.0,0.0
2021-01-24,141438.0,0.0
2021-01-25,129426.0,1.0
2021-01-26,149850.0,0.0
2021-01-27,156142.0,0.0
2021-01-28,164602.0,0.0
2021-01-29,166998.0,0.0
2021-01-30,149717.0,1.0
2021-01-31,113831.0,0.0
2021-02-01,124888.0,0.0
2021-02-02,117853.0,0.0
2021-02-03,122875.0,0.0
2021-02-04,125311.0,0.0
2021-02-05,131566.0,3.0
2021-02-06,116343.0,0.0
2021-02-07,90479.0,6.0
2021-02-08,82772.0,0.0
2021-02-09,94167.0,0.0
2021-02-10,95992.0,0.0
2021-02-11,106011.0,0.0
2021-02-12,100924.0,0.0
2021-02-13,90919.0,0.0
2021-02-14,68402.0,0.0
2021-02-15,55734.0,0.0
2021-02-16,59025.0,0.0
2021-02-17,68674.0,0.0
2021-02-18,72177.0,5.0
2021-02-19,75519.0,0.0
2021-02-20,73783.0,0.0
2021-02-21,55534.0,0.0
2021-02-22,55344.0,0.0
2021-02-23,73234.0,5.0
2021-02-24,74768.0,0.0
2021-02-25,77603.0,0.0
2021-02-26,75891.0,0.0
2021-02-27,71256.0,0.0
2021-02-28,52029.0,5.0
2021-03-01,50530.0,1.0
2021-03-02,57510.0,0.0
2021-03-03,67344.0,2.0
2021-03-04,68884.0,0.0
2021-03-05,68127.0,0.0
2021-03-06,61146.0,0.0
2021-03-07,42147.0,0.0
2021-03-08,43381.0,0.0
2021-03-09,55490.0,5.0
2021-03-10,57528.0,0.0
2021-03-11,61934.0,0.0
2021-03-12,63058.0,0.0
2021-03-13,55400.0,0.0
2021-03-14,38626.0,0.0
2021-03-15,53155.0,0.0
2021-03-16,53496.0,0.0
2021-03-17,60050.0,1.0
2021-03-18,61643.0,0.0
2021-03-19,61710.0,0.0
2021-03-20,58159.0,0.0
2021-03-21,34623.0,3.0
2021-03-22,49073.0,1.0
2021-03-23,53171.0,0.0
2021-03-24,87475.0,3.0
2021-03-25,68017.0,0.0
2021-03-26,76192.0,3.0
2021-03-27,63348.0,0.0
2021-03-28,45499.0,3.0
2021-03-29,67399.0,0.0
2021-03-30,61369.0,0.0
2021-03-31,68984.0,0.0
2021-04-01,77420.0,0.0
2021-04-02,73001.0,1.0
2021-04-03,64047.0,0.0
2021-04-04,37355.0,3.0
2021-04-05,69430.0,1.0
2021-04-06,62549.0,0.0
2021-04-07,75687.0,1.0
2021-04-08,80461.0,2.0
2021-04-09,84448.0,0.0
2021-04-10,69827.0,7.0
2021-04-11,46787.0,0.0
2021-04-12,63616.0,0.0
2021-04-13,81227.0,0.0
2021-04-14,75028.0,0.0
2021-04-15,74123.0,2.0
2021-04-16,80677.0,0.0
