date,norm_reviews,norm_new_cases,norm_reviews_rolling_avg,norm_cases_rolling_avg
2020-06-29,0.0,0.030439755184068693,0.09090909090909091,0.051378988824630975
2020-06-30,0.0,0.03608294509911391,0.09090909090909091,0.05334780264279777
2020-07-01,0.0,0.03616917877043939,0.09090909090909091,0.055689508658435735
2020-07-02,0.0,0.039883803781858046,0.09090909090909091,0.058445598696764925
2020-07-03,0.0,0.037989586187996714,0.0,0.05888028344080844
2020-07-04,0.0,0.03357412989860235,0.0,0.05971385955177432
2020-07-05,0.0,0.03914497122499315,0.0,0.06172790480172606
2020-07-06,0.0,0.031405133826619164,0.0,0.061963143862308404
2020-07-07,0.0,0.04133077555494656,0.0,0.06324191123100013
2020-07-08,0.0,0.04460546268384032,0.0,0.06529762638267501
2020-07-09,0.0,0.04339015255321092,0.0,0.06615203744450246
2020-07-10,0.0,0.05025888371243263,0.0,0.06914176385488617
2020-07-11,0.3,0.04437964739197954,0.13636363636363635,0.07177480302957993
2020-07-12,0.0,0.042980908011327305,0.13636363636363635,0.07270952659430113
2020-07-13,0.0,0.04457184616789988,0.13636363636363635,0.07591793095047977
2020-07-14,0.5,0.0475417922718553,0.36363636363636365,0.07743140315024458
2020-07-15,0.1,0.048471362016990954,0.4090909090909091,0.07837342785159247
2020-07-16,0.1,0.05140915319265552,0.4545454545454546,0.08032746132000276
2020-07-17,0.0,0.04870448524709966,0.4545454545454546,0.07994869259792961
2020-07-18,0.0,0.04728893760847721,0.3181818181818182,0.08065761515673225
2020-07-19,0.0,0.04323157029323102,0.3181818181818182,0.08071869539729225
2020-07-20,0.0,0.04466173380834932,0.3181818181818182,0.08074059880717235
2020-07-21,0.0,0.04908230565451722,0.09090909090909091,0.08111598407568679
2020-07-22,0.0,0.04974148168447977,0.045454545454545456,0.0814254810380578
2020-07-23,0.0,0.04966620992052617,0.0,0.08100076857818735
2020-07-24,0.0,0.055104046770804785,0.0,0.08256018451574945
2020-07-25,0.3,0.045909198867269574,0.13636363636363635,0.08222397607791489
2020-07-26,0.2,0.04143674065954143,0.2272727272727273,0.08178662018632502
2020-07-27,0.0,0.04405955969672056,0.2272727272727273,0.08163988514777858
2020-07-28,0.0,0.047472366858500044,0.2272727272727273,0.08124758261147055
2020-07-29,0.0,0.04730647666027222,0.2272727272727273,0.08065423170317354
2020-07-30,0.0,0.04947254955695624,0.2272727272727273,0.0806070414298546
2020-07-31,0.0,0.04819439115739472,0.2272727272727273,0.07892332809313544
2020-08-01,0.0,0.04217995797935507,0.09090909090909091,0.07801460369786543
2020-08-02,0.0,0.034641819676623734,0.0,0.07635884837213146
2020-08-03,0.0,0.029867543619256417,0.0,0.07290060268211707
2020-08-04,0.0,0.04513017265004111,0.0,0.07232986748971253
2020-08-05,0.0,0.03994519046314059,0.0,0.07053610287408353
2020-08-06,0.0,0.04357650497853293,0.0,0.06909938164715067
2020-08-07,0.0,0.044734082397003744,0.0,0.06825618940501792
2020-08-08,0.1,0.04656764410340733,0.045454545454545456,0.06932536072957232
2020-08-09,0.0,0.040041655248013154,0.045454545454545456,0.07064116801090684
2020-08-10,0.0,0.03793185347583813,0.045454545454545456,0.07260624222250874
2020-08-11,0.0,0.041097652324837856,0.045454545454545456,0.07162361607845623
2020-08-12,0.0,0.04045089978989678,0.045454545454545456,0.07174684501859475
2020-08-13,0.0,0.037510185438933044,0.045454545454545456,0.07026863196644184
2020-08-14,0.0,0.05168685484607655,0.045454545454545456,0.07196285181684334
2020-08-15,0.0,0.037809810907097834,0.0,0.06982878300380871
