date,norm_new_cases,norm_reviews
2020-03-01,0.0,0.0
2020-03-02,1.1692701196674887e-05,0.0
2020-03-03,8.769525897506166e-06,0.0
2020-03-04,1.9000639444596693e-05,0.0
2020-03-05,5.115556773545264e-05,0.0
2020-03-06,3.3616515940440305e-05,0.1
2020-03-07,0.0001161962181419567,0.3
2020-03-08,7.965652690234768e-05,0.0
2020-03-09,4.969398008586828e-05,0.0
2020-03-10,0.00013227368228738468,0.0
2020-03-11,0.00026162418927560063,0.0
2020-03-12,0.000315702932310222,0.5
2020-03-13,0.000457476934319905,0.0
2020-03-14,0.0005495569562437197,0.0
2020-03-15,0.00016589019822782497,0.0
2020-03-16,0.0010669589841965836,0.0
2020-03-17,0.0013344295240705216,0.1
2020-03-18,0.0019366036356992784,0.0
2020-03-19,0.003279071891842514,0.3
2020-03-20,0.004647848725678268,0.0
2020-03-21,0.004375993422855577,0.0
2020-03-22,0.006512834566547913,0.0
2020-03-23,0.008144697177308851,0.0
2020-03-24,0.007754453274869827,0.0
2020-03-25,0.008857221156481227,0.0
2020-03-26,0.013018361194847904,0.5
2020-03-27,0.013581072439937883,0.0
2020-03-28,0.016192198775920343,0.0
2020-03-29,0.01178039645564995,0.0
2020-03-30,0.01618489083767242,0.0
2020-03-31,0.019273956335068967,0.0
2020-04-01,0.022979811820590116,0.0
2020-04-02,0.023444596693157942,0.0
2020-04-03,0.023529368776833835,0.1
2020-04-04,0.023300630309673883,0.0
2020-04-05,0.021364757467799398,0.0
2020-04-06,0.02318224171005755,0.0
2020-04-07,0.021966200785603362,0.2
2020-04-08,0.02270649493011784,0.0
2020-04-09,0.026019183337900795,0.0
2020-04-10,0.025089613592765143,0.2
2020-04-11,0.021095094546451084,0.3
2020-04-12,0.01932511190280442,0.0
2020-04-13,0.019756280259431807,0.2
2020-04-14,0.02071215858225998,0.0
2020-04-15,0.01872513017265004,0.2
2020-04-16,0.021676806430985657,0.0
2020-04-17,0.023960537133461222,0.0
2020-04-18,0.02013556225449895,0.0
2020-04-19,0.018733168904722756,0.0
2020-04-20,0.021937699826436466,0.0
2020-04-21,0.018942175938613318,0.0
2020-04-22,0.02146999177856947,0.0
2020-04-23,0.02365579610852288,0.1
2020-04-24,0.023337900794738284,0.3
2020-04-25,0.02269699461039554,0.0
2020-04-26,0.01909710422946926,0.0
2020-04-27,0.01799360555403307,0.3
2020-04-28,0.01785621631497214,0.1
2020-04-29,0.019437654151822418,0.0
2020-04-30,0.021232483785512013,0.0
2020-05-01,0.02577217502512104,0.0
2020-05-02,0.01994847903535215,0.0
2020-05-03,0.017448433360738102,0.0
2020-05-04,0.017446240979263724,0.3
2020-05-05,0.01748497305197771,0.0
2020-05-06,0.01788398648031424,0.0
2020-05-07,0.020091714625011418,0.0
2020-05-08,0.019979903169818215,0.5
2020-05-09,0.017934411254224902,0.0
2020-05-10,0.013673152461861697,0.0
2020-05-11,0.013920891568466246,0.0
2020-05-12,0.016969763405499223,0.0
2020-05-13,0.01458225997990317,0.5
2020-05-14,0.018975061660728966,0.0
2020-05-15,0.0181777655978807,0.0
2020-05-16,0.017626747053987393,0.0
2020-05-17,0.013423220973782771,0.2
2020-05-18,0.016503516945281814,0.0
2020-05-19,0.015013428336530556,1.0
2020-05-20,0.016487439481136384,0.0
2020-05-21,0.018541700922627205,0.0
2020-05-22,0.017468895587832284,0.0
2020-05-23,0.014724764775737646,0.0
2020-05-24,0.01474303462135745,0.0
2020-05-25,0.013823695989768887,0.0
2020-05-26,0.01364684388416918,0.0
2020-05-27,0.013816388051520965,0.2
2020-05-28,0.015391248743948113,0.0
2020-05-29,0.018440851374805882,0.0
2020-05-30,0.016904722755092718,0.0
2020-05-31,0.013359641911025852,0.0
2020-06-01,0.012607655065314699,0.0
2020-06-02,0.01549429067324381,0.0
2020-06-03,0.014098474467890747,0.0
2020-06-04,0.02049438202247191,0.0
2020-06-05,0.019265186809171463,0.1
2020-06-06,0.014859230839499407,0.1
2020-06-07,0.012960628482689321,0.0
2020-06-08,0.012361377546359733,0.0
2020-06-09,0.014820498766785421,0.0
2020-06-10,0.01581510916232758,0.0
2020-06-11,0.016129350506988216,0.0
2020-06-12,0.01883913400931762,0.1
2020-06-13,0.01758582259979903,0.1
2020-06-14,0.013947200146158766,0.0
2020-06-15,0.015305745866447429,0.0
2020-06-16,0.018022106513199965,0.0
2020-06-17,0.01973947200146159,0.0
2020-06-18,0.02029560610212844,0.0
2020-06-19,0.02306750707956518,0.0
2020-06-20,0.0232618982369599,0.0
2020-06-21,0.01893267561889102,0.0
2020-06-22,0.02158984196583539,0.0
2020-06-23,0.028003288572211564,0.0
2020-06-24,0.026559239974422215,0.0
2020-06-25,0.028573307755549466,0.0
2020-06-26,0.036205718461679,0.2
2020-06-27,0.03015328400475016,0.0
2020-06-28,0.030879693066593588,0.0
2020-06-29,0.030439755184068693,0.0
2020-06-30,0.03608294509911391,0.0
2020-07-01,0.03616917877043939,0.0
2020-07-02,0.039883803781858046,0.0
2020-07-03,0.037989586187996714,0.0
2020-07-04,0.03357412989860235,0.0
2020-07-05,0.03914497122499315,0.0
2020-07-06,0.031405133826619164,0.0
2020-07-07,0.04133077555494656,0.0
2020-07-08,0.04460546268384032,0.0
2020-07-09,0.04339015255321092,0.0
2020-07-10,0.05025888371243263,0.0
2020-07-11,0.04437964739197954,0.3
2020-07-12,0.042980908011327305,0.0
2020-07-13,0.04457184616789988,0.0
2020-07-14,0.0475417922718553,0.5
2020-07-15,0.048471362016990954,0.1
2020-07-16,0.05140915319265552,0.1
