date,new_cases,reviews,reviews_rolling_avg,cases_rolling_avg
2020-05-27,18913.0,2.0,0.2857142857142857,20877.714285714286
2020-05-28,21068.0,0.0,0.2857142857142857,20261.85714285714
2020-05-29,25241.0,0.0,0.2857142857142857,20451.85714285714
2020-05-30,23139.0,0.0,0.2857142857142857,20878.0
2020-05-31,18288.0,0.0,0.2857142857142857,20607.571428571428
2020-06-01,17259.0,0.0,0.2857142857142857,20369.85714285714
2020-06-02,21209.0,0.0,0.2857142857142857,20731.0
2020-06-03,19299.0,0.0,0.0,20786.14285714286
2020-06-04,28051.0,0.0,0.0,21783.714285714286
2020-06-05,26369.0,1.0,0.14285714285714285,21944.85714285714
2020-06-06,20340.0,1.0,0.2857142857142857,21545.0
2020-06-07,17742.0,0.0,0.2857142857142857,21467.0
2020-06-08,16922.0,0.0,0.2857142857142857,21418.85714285714
2020-06-09,20287.0,0.0,0.2857142857142857,21287.14285714286
2020-06-10,21648.0,0.0,0.2857142857142857,21622.714285714286
2020-06-11,22078.0,0.0,0.2857142857142857,20769.428571428572
2020-06-12,25786.0,1.0,0.2857142857142857,20686.14285714286
2020-06-13,24071.0,1.0,0.2857142857142857,21219.14285714286
2020-06-14,19092.0,0.0,0.2857142857142857,21412.0
2020-06-15,20951.0,0.0,0.2857142857142857,21987.571428571428
2020-06-16,24668.0,0.0,0.2857142857142857,22613.428571428572
2020-06-17,27018.0,0.0,0.2857142857142857,23380.571428571428
2020-06-18,27779.0,0.0,0.2857142857142857,24195.0
2020-06-19,31572.0,0.0,0.14285714285714285,25021.571428571428
2020-06-20,31838.0,0.0,0.0,26131.14285714286
2020-06-21,25914.0,0.0,0.0,27105.714285714286
2020-06-22,29550.0,0.0,0.0,28334.14285714286
2020-06-23,38326.0,0.0,0.0,30285.285714285714
2020-06-24,36350.0,0.0,0.0,31618.428571428572
2020-06-25,39106.0,0.0,0.0,33236.57142857143
2020-06-26,49550.0,2.0,0.2857142857142857,35804.857142857145
2020-06-27,41268.0,0.0,0.2857142857142857,37152.0
2020-06-28,42262.0,0.0,0.2857142857142857,39487.42857142857
2020-06-29,41660.0,0.0,0.2857142857142857,41217.42857142857
2020-06-30,49382.0,0.0,0.2857142857142857,42796.857142857145
2020-07-01,49500.0,0.0,0.2857142857142857,44675.42857142857
2020-07-02,54583.0,0.0,0.2857142857142857,46886.42857142857
2020-07-03,51991.0,0.0,0.0,47235.142857142855
2020-07-04,45949.0,0.0,0.0,47903.857142857145
2020-07-05,53572.0,0.0,0.0,49519.57142857143
2020-07-06,42981.0,0.0,0.0,49708.28571428572
2020-07-07,56563.0,0.0,0.0,50734.142857142855
2020-07-08,61044.0,0.0,0.0,52383.28571428572
2020-07-09,59381.0,0.0,0.0,53068.71428571428
2020-07-10,68780.0,0.0,0.0,55467.142857142855
2020-07-11,60735.0,3.0,0.42857142857142855,57579.42857142857
2020-07-12,58821.0,0.0,0.42857142857142855,58329.28571428572
2020-07-13,60998.0,0.0,0.42857142857142855,60903.142857142855
2020-07-14,65062.0,5.0,1.1428571428571428,62117.28571428572
2020-07-15,66334.0,1.0,1.2857142857142858,62873.0
2020-07-16,70354.0,1.0,1.4285714285714286,64440.57142857143
2020-07-17,66653.0,0.0,1.4285714285714286,64136.71428571428
2020-07-18,64716.0,0.0,1.0,64705.42857142857
2020-07-19,59164.0,0.0,1.0,64754.42857142857
2020-07-20,61121.0,0.0,1.0,64772.0
2020-07-21,67170.0,0.0,0.2857142857142857,65073.142857142855
2020-07-22,68072.0,0.0,0.14285714285714285,65321.42857142857
2020-07-23,67969.0,0.0,0.0,64980.71428571428
2020-07-24,75410.0,0.0,0.0,66231.71428571429
2020-07-25,62828.0,3.0,0.42857142857142855,65962.0
