,date,freq
254,2020-12-21,11
255,2021-03-02,11
256,2021-04-11,11
257,2020-12-28,11
258,2021-12-12,11
259,2021-11-21,10
260,2021-12-21,10
261,2020-05-27,10
262,2020-12-29,10
263,2020-11-02,10
264,2020-08-08,10
265,2021-03-12,10
266,2021-05-03,10
267,2021-09-11,10
268,2021-08-18,10
269,2021-02-28,10
270,2021-11-03,10
271,2021-03-13,10
272,2021-11-04,10
273,2020-11-24,10
274,2020-08-29,10
275,2020-06-05,10
276,2021-05-24,10
277,2022-01-14,10
278,2021-04-04,10
279,2020-03-14,10
280,2021-09-13,10
281,2021-05-07,10
282,2020-09-11,10
283,2021-07-13,10
284,2021-10-18,10
285,2021-11-24,10
286,2021-02-10,10
287,2020-04-14,10
288,2021-04-30,10
289,2021-08-28,10
290,2021-12-08,10
291,2021-01-28,9
292,2021-08-26,9
293,2020-12-25,9
294,2020-03-07,9
295,2020-11-30,9
296,2021-04-06,9
297,2021-11-27,9
298,2020-08-16,9
299,2020-10-01,9
300,2021-04-17,9
301,2020-11-12,9
302,2021-03-04,9
303,2021-03-16,9
304,2021-10-25,9
305,2020-11-18,9
306,2021-03-30,9
307,2020-04-13,9
308,2020-03-18,9
309,2021-09-07,9
310,2020-03-03,9
311,2021-09-02,9
312,2020-08-27,9
313,2021-10-20,9
314,2020-05-15,9
315,2020-10-06,9
316,2021-10-28,9
317,2020-05-11,9
318,2021-03-03,9
319,2021-04-15,9
320,2020-04-27,9
321,2020-09-05,9
322,2021-10-22,9
323,2020-12-16,9
324,2020-06-08,9
325,2021-08-13,9
326,2021-05-31,9
327,2021-06-20,9
328,2021-05-20,9
329,2021-02-18,9
330,2021-06-19,9
331,2021-01-31,9
332,2021-04-09,9
333,2021-08-12,8
334,2021-04-01,8
335,2021-07-28,8
336,2021-04-28,8
337,2021-09-19,8
338,2020-05-05,8
339,2021-06-01,8
340,2021-06-22,8
341,2020-03-20,8
342,2020-04-03,8
343,2021-07-23,8
344,2021-09-29,8
345,2021-02-05,8
346,2021-09-23,8
347,2021-02-09,8
348,2021-01-18,8
349,2021-08-20,8
350,2021-02-20,8
351,2021-05-29,8
352,2020-12-07,8
353,2021-03-14,8
354,2021-05-02,8
355,2021-10-30,8
356,2021-04-05,8
357,2021-08-10,8
358,2020-08-13,8
359,2021-05-18,8
360,2020-04-23,8
361,2020-10-14,8
362,2020-10-08,8
363,2021-11-09,8
364,2021-01-23,8
365,2021-05-12,8
